TSN,FormID,FoliageID,ScientificName,CrownShapeFactor,FlammID,PDFoliage,PDWood,PDRotten,TreeBD,SV,treeBioEqID,shrubBioEqID,treeCrownDensity,HCFoliage,HCWood,canopy,shrub,nonwoody,woody,acceptedTSN,CommonName
1,1,4,Quercus faginea,0.5,1,25.0,46.1,18.72,0.06,2500.0,4.0,27.0,0.6,8000.0,8000.0,1,0,0,1,0,Portuguese oak
2,1,4,Quercus pyrenaica,0.5,1,25.0,46.1,18.72,0.06,2500.0,4.0,27.0,0.6,8000.0,8000.0,1,1,0,1,0,Pyrenean oak
3,3,5,Phillyrea angustifolia,0.5,1,25.0,25.0,18.72,0.01,2500.0,3.0,28.0,0.6,8000.0,8000.0,1,1,0,1,0,olivilla
4,1,4,Quercus lusitanica,0.5,1,25.0,46.1,18.72,0.06,2500.0,4.0,27.0,0.6,8000.0,8000.0,1,0,0,1,0,gall oak
5,2,6,Quercus coccifera,0.5,2,25.0,48.9,18.72,0.06,3843.0,,28.0,0.6,8000.0,8000.0,0,1,0,1,0,Kermes oak
6,2,5,Ruscus aculeatus,,1,25.0,25.0,18.72,0.01,2500.0,,28.0,0.6,8000.0,8000.0,0,1,0,0,0,butcher's broom
7,3,5,Daphne gnidium,,1,25.0,25.0,18.72,,2500.0,,28.0,1.0,8000.0,8000.0,0,1,0,1,0,flax-leaved daphne
17013,5,7,Lycopodium spp.,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,clubmoss
17018,5,7,Lycopodium annotinum,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,stiff clubmoss
17024,5,7,Lycopodium clavatum,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,running clubmoss
17032,5,7,Lycopodium obscurum,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,rare clubmoss
17036,5,7,Lycopodium sitchense,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,Sitka clubmoss
17076,5,7,Selaginella densa,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,lesser spikemoss
17088,5,7,Selaginella oregana,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,Oregon spikemoss
17100,5,7,Selaginella wallacei,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,Wallace's spikemoss
17101,5,7,Selaginella watsonii,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,Watson's spikemoss
17148,5,12,Equisetum spp.,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,horsetail
17149,5,12,Equisetum variegatum,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,variegated scouringrush
17150,5,12,Equisetum fluviatile,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,water horsetail
17151,5,12,Equisetum scirpoides,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,dwarf scouringrush
17152,5,12,Equisetum arvense,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,field horsetail
17153,5,12,Equisetum palustre,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,marsh horsetail
17154,5,12,Equisetum hyemale,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,scouringrush horsetail
17156,5,12,Equisetum laevigatum,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,smooth horsetail
17159,5,12,Equisetum pratense,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,meadow horsetail
17161,5,12,Equisetum sylvaticum,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,woodland horsetail
17162,5,12,Equisetum telmateia,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,giant horsetail
17173,6,9,Botrychium virginianum,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,rattlesnake fern
17181,6,9,Botrychium lunaria,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,common moonwort
17187,6,9,Botrychium multifidum,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,leathery grapefern
17218,6,9,Osmunda regalis,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,royal fern
17219,6,9,Osmunda cinnamomea,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,8979,cinnamon fern
17224,6,9,Pteridium aquilinum,,2,25.0,,,,2865.0,,,,8000.0,8000.0,0,0,1,0,0,western brackenfern
17228,6,9,Polypodium spp.,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,polypody
17231,6,9,Polypodium californicum,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,California polypody
17234,6,9,Polypodium glycyrrhiza,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,licorice fern
17235,6,9,Polypodium hesperium,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,western polypody
17239,6,9,Polypodium scouleri,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,leathery polypody
17242,6,9,Polypodium virginianum,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,rock polypody
17251,6,9,Thelypteris palustris,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,eastern marsh fern
17261,6,9,Thelypteris noveboracensis,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,New York fern
17307,6,9,Adiantum spp.,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,maidenhair fern
17308,6,9,Adiantum capillus-veneris,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,common maidenhair fern
17311,6,9,Adiantum pedatum,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,northern maidenhair fern
17332,5,12,Aspidotis densa,,2,25.0,,,0.01,3000.0,,,,8000.0,8000.0,0,0,1,0,0,Indian's dream
17335,6,9,Asplenium adiantum-nigrum,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,black spleenwort
17355,6,9,Asplenium platyneuron,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,ebony spleenwort
17364,6,12,Asplenium trichomanes,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,maidenhair spleenwort
17408,6,9,Athyrium spp.,,2,25.0,,,,2000.0,,,,8000.0,8000.0,0,0,1,0,0,ladyfern
17413,6,9,Athyrium filix-femina,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,common ladyfern
17414,6,9,Athyrium filix-femina ssp. angustum,,2,25.0,,,,2000.0,,,,8000.0,8000.0,0,0,1,0,5324,subarctic ladyfern
17442,6,9,Cheilanthes fendleri,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,Fendler's lipfern
17444,6,9,Cheilanthes gracillima,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,lace lipfern
17461,5,13,Cryptogramma acrostichoides,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,American rockbrake
17463,6,9,Cryptogramma crispa,,2,25.0,,,,2000.0,,,,8000.0,8000.0,0,0,1,0,0,parsley fern
17480,6,9,Cystopteris spp.,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,bladderfern
17482,6,9,Cystopteris fragilis,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,brittle bladderfern
17491,6,9,Dennstaedtia punctilobula,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,eastern hayscented fern
17519,6,9,Dryopteris spp.,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,woodfern
17521,6,9,Dryopteris arguta,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,coastal woodfern
17527,6,9,Dryopteris campyloptera,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,mountain woodfern
17531,6,9,Dryopteris cristata,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,crested woodfern
17534,6,9,Dryopteris expansa,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,spreading woodfern
17535,6,9,Dryopteris filix-mas,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,male fern
17538,6,9,Dryopteris intermedia,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,intermediate woodfern
17541,6,9,Dryopteris marginalis,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,marginal woodfern
17579,6,9,Gymnocarpium dryopteris,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,western oakfern
17596,6,9,Matteuccia struthiopteris,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,ostrich fern
17605,5,13,Nephrolepis exaltata,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,Boston swordfern
17610,6,13,Nephrolepis hirsutula,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,scaly swordfern
17637,6,9,Onoclea sensibilis,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,sensitive fern
17640,6,9,Pellaea andromedifolia,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,coffee cliffbrake
17653,6,12,Pellaea ternifolia,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,Trans-Pecos cliffbrake
17674,6,9,Polystichum spp.,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,hollyfern
17675,6,9,Polystichum acrostichoides,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,Christmas fern
17677,6,9,Polystichum andersonii,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,Anderson's hollyfern
17680,6,9,Polystichum dudleyi,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,Dudley's swordfern
17682,6,9,Polystichum imbricans ssp. imbricans,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,narrowleaf swordfern
17686,6,9,Polystichum lonchitis,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,northern hollyfern
17736,6,9,Woodsia spp.,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,cliff fern
17745,6,9,Woodsia oregana,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,Oregon cliff fern
17747,6,9,Woodsia scopulina,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,Rocky Mountain woodsia
17749,6,9,Woodwardia areolata,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,netted chainfern
17750,6,9,Woodwardia fimbriata,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,giant chainfern
17751,6,9,Woodwardia virginica,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,Virginia chainfern
17866,6,9,Blechnum spicant,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,deer fern
17937,1,9,Cyathea spp.,0.5,1,25.0,25.0,28.72,0.01,2500.0,12.0,,0.6,8000.0,8000.0,1,0,0,0,0,treefern
17939,1,9,Cyathea arborea,0.5,1,25.0,25.0,28.72,0.01,2500.0,12.0,,0.6,8000.0,8000.0,1,0,0,0,0,West Indian treefern
17964,6,9,Dicranopteris linearis,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,Old World forkedfern
18031,3,3,Abies spp.,0.33,2,25.0,26.6,18.72,0.07,2000.0,7.0,26.0,1.0,8000.0,8000.0,1,1,0,1,0,fir
18032,1,3,Abies balsamea,0.33,2,25.0,24.5,18.72,0.05,2000.0,7.0,,1.0,8000.0,8000.0,1,0,0,1,0,balsam fir
18033,1,3,Picea spp.,0.33,2,25.0,23.3,18.72,0.06,1653.0,9.0,,1.0,8000.0,8000.0,1,0,0,1,0,spruce
18034,1,3,Picea rubens,0.33,2,25.0,28.0,18.72,0.06,1653.0,9.0,,1.0,8000.0,8000.0,1,0,0,1,0,red spruce
18035,3,1,Pinus spp.,0.33,2,25.0,32.85,18.72,0.02,2000.0,9.0,26.0,1.0,8000.0,8000.0,1,1,0,1,0,pine
18036,3,1,Pinus elliottii,0.33,2,25.0,41.2,18.72,0.03,2000.0,8.0,26.0,1.0,8000.0,8000.0,1,1,0,1,0,slash pine
18037,3,1,Pinus taeda,0.33,2,25.0,35.75,18.72,0.03,2000.0,8.0,26.0,1.0,8000.0,8000.0,1,1,0,1,0,loblolly pine
18038,3,1,Pinus palustris,0.33,2,25.0,41.2,18.72,0.03,2000.0,8.0,26.0,0.6,8000.0,8000.0,1,1,0,1,0,longleaf pine
18041,1,3,Taxodium distichum,0.33,2,25.0,32.2,18.72,0.02,2000.0,5.0,27.0,1.0,8000.0,8000.0,1,1,0,1,0,bald cypress
18043,1,3,Thuja spp.,0.33,2,25.0,22.4,15.48,0.02,2000.0,5.0,,1.0,8000.0,8000.0,1,0,0,1,0,arborvitae
18044,1,3,Thuja plicata,0.33,2,25.0,22.4,15.48,0.02,2000.0,5.0,,1.0,8000.0,8000.0,1,0,0,1,0,western redcedar
18046,1,3,Chamaecyparis thyoides,0.33,2,25.0,20.09,18.72,0.02,2000.0,5.0,,1.0,8000.0,8000.0,1,0,0,1,0,Atlantic white cedar
18047,3,3,Juniperus spp.,0.33,2,25.0,32.85,18.72,0.06,861.0,10.0,26.0,1.0,8000.0,8000.0,1,1,0,1,0,juniper
18048,3,3,Juniperus virginiana,0.33,2,25.0,32.85,18.72,0.06,861.0,5.0,26.0,1.0,8000.0,8000.0,1,1,0,1,0,eastern redcedar
18069,3,5,Magnolia spp.,0.5,1,25.0,32.85,18.72,0.06,2500.0,3.0,28.0,0.6,8000.0,8000.0,1,1,0,1,0,magnolia
18070,3,4,Magnolia virginiana,0.5,1,25.0,32.2,18.72,0.06,2500.0,3.0,27.0,0.6,8000.0,8000.0,1,1,0,1,0,sweetbay
18071,1,4,Magnolia acuminata,0.5,1,25.0,33.5,15.6,0.06,2500.0,3.0,,0.6,8000.0,8000.0,1,0,0,1,0,cucumber tree
18074,1,5,Magnolia grandiflora,0.5,1,25.0,34.9,18.72,0.06,2500.0,3.0,,0.6,8000.0,8000.0,1,0,0,1,0,southern magnolia
18075,1,4,Magnolia macrophylla,0.5,1,25.0,32.85,18.72,0.06,2500.0,3.0,,0.6,8000.0,8000.0,1,0,0,1,0,bigleaf magnolia
18086,1,4,Liriodendron tulipifera,0.5,1,25.0,29.4,13.42,0.06,2500.0,3.0,27.0,0.6,8000.0,8000.0,1,1,0,1,0,tuliptree
18099,1,6,Annona reticulata,0.5,2,25.0,40.5,18.72,0.01,2000.0,,29.0,0.6,8000.0,8000.0,1,1,0,0,0,custard apple
18101,2,6,Annona glabra,0.5,2,25.0,40.5,18.72,0.01,2000.0,,29.0,0.6,8000.0,8000.0,0,1,0,1,0,pond apple
18108,3,5,Asimina spp.,0.5,1,25.0,30.13,18.72,0.06,2500.0,3.0,28.0,0.6,8000.0,8000.0,1,1,0,1,0,pawpaw
18110,3,4,Asimina longifolia,0.5,1,25.0,21.85,18.72,0.06,2500.0,3.0,27.0,0.6,8000.0,8000.0,1,1,0,1,0,slimleaf pawpaw
18117,3,5,Asimina triloba,0.5,1,25.0,30.13,18.72,0.06,2500.0,3.0,28.0,0.6,8000.0,8000.0,1,1,0,1,0,pawpaw
18144,2,4,Calycanthus occidentalis,0.5,1,25.0,25.0,18.72,,2500.0,,27.0,0.6,8000.0,8000.0,0,1,0,0,0,western sweetshrub
18147,3,4,Lindera benzoin,0.5,1,25.0,25.0,18.72,0.01,2500.0,3.0,27.0,0.6,8000.0,8000.0,1,1,0,1,0,northern spicebush
18148,3,6,Persea spp.,0.5,2,25.0,40.5,18.72,0.06,2500.0,3.0,28.0,0.6,8000.0,8000.0,1,1,0,1,0,bay
18149,3,6,Persea borbonia,0.5,2,25.0,40.5,18.72,0.06,2000.0,3.0,28.0,0.6,8000.0,8000.0,1,1,0,1,0,redbay
